0.1218:0.06:0.0688
River Street , Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
South Wharf Road, Paddington#0.0588#0.0:0.0196:0.0#2#0.0:0.0:0.0
Queen's Gate (South), South Kensington#0.3333#0.0:0.0:0.0085#1#0.0:0.0:0.0
Nutford Place, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Claremont Square, Angel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Rampayne Street, Pimlico#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hyde Park Corner, Hyde Park#0.0838#0.1884:0.2059:0.0171#62#0.0:0.0:0.0
Wardour Street, Soho#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bankside Mix, Bankside#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hop Exchange, The Borough#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Milroy Walk, South Bank#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Union Street, The Borough#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Stamford Street, South Bank#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Great Tower Street, Monument#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
LMU Commercial Road, Whitechapel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Dorset Square, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Leman Street, Aldgate#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
West Smithfield Rotunda, Farringdon#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Margery Street, Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Grosvenor Crescent, Belgravia#0.0625#0.0048:0.0:0.0#1#0.0:0.0:0.0
Mallory Street, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Denyer Street, Knightsbridge#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hinde Street, Marylebone#0.0513#0.0048:0.0098:0.0#2#0.0:0.0:0.0
Cadogan Place, Knightsbridge#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Campden Hill Road, Notting Hill#0.0#0.0:0.0:0.0#0#6.0E-4:0.0:0.0
Wellington Arch, Hyde Park#0.0625#0.0048:0.0:0.0085#2#0.0:0.0:0.0
Endsleigh Gardens, Euston#0.0323#0.0:0.0098:0.0#1#6.0E-4:0.0:0.0
Moorfields, Moorgate#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Old Brompton Road, South Kensington#0.0#0.0:0.0:0.0#0#0.0:6.0E-4:0.0
Wormwood Street, Liverpool Street#0.0303#0.0:0.0098:0.0#1#0.0:0.0:0.0
St. Luke's Church, Chelsea#0.0909#0.0:0.0:0.0085#1#0.0:0.0:0.0
Bramham Gardens, Earl's Court#0.1875#0.0145:0.0:0.0#3#6.0E-4:0.0:6.0E-4
Chelsea Green, Chelsea#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Horseferry Road, Westminster#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Knightsbridge, Hyde Park#0.0769#0.0048:0.0:0.0085#2#0.0:0.0:0.0
Rodney Road , Walworth#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Whiteley's, Bayswater#0.0909#0.0:0.0098:0.0085#2#0.0:0.0:6.0E-4
Notting Hill Gate Station, Notting Hill#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0012
Great Percy Street, Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
St. James's Square, St. James's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Whitehall Place, Strand#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Poured Lines, Bankside#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Queen's Gate (Central), South Kensington#0.2273#0.0193:0.0:0.0085#5#0.0:6.0E-4:0.0
Carey Street, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Pall Mall East, West End#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Liverpool Road (N1 Centre), Angel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Kennington Road  , Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Fashion Street, Whitechapel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Vaughan Way, Wapping#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Frampton Street, Paddington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Warren Street Station, Euston#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Colombo Street, Southwark#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Beaumont Street, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Gloucester Street, Pimlico#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
